t n p
1 10000 0
2 9990 5.00501e-05
3 9872 0
4 9846 0
5 9792 0
6 9576 0
7 9648 0
8 9816 0
9 9674 0
10 9672 0
11 9592 0
12 9546 0
13 9548 0
14 9486 0
15 9530 0
16 9408 0
17 9370 0
18 9268 0
19 9206 0
20 9256 0
21 9106 0
22 9220 0
23 9122 0
24 9130 0
25 9208 0
26 9272 5.39258e-05
27 9502 0.000263103
28 9464 0
29 9368 0
30 9336 0
31 9330 0
32 9346 0
33 9416 0
34 9288 0
35 9118 0
36 9000 0
37 9020 0
38 9026 0
39 9016 0
40 9014 0
41 9034 0
42 8906 5.61419e-05
43 8900 0.00011236
44 8928 0
45 8940 0
46 8902 0
47 9110 0
48 8972 0
49 8928 0
50 8942 0
51 8860 0
52 8884 0
53 9050 5.52486e-05
54 9230 0
55 9332 0
56 9178 0
57 9088 0
58 9106 0
59 9224 0
60 9262 0
61 9140 0
62 9134 0
63 9128 0
64 9164 0
65 9244 0
66 9346 0
67 9272 5.39258e-05
68 9030 0.000110742
69 8972 0
70 9080 0
71 9092 0
72 8916 0
73 9046 0
74 9236 0
75 9142 0
76 9292 0
77 9364 0
78 9382 0
79 9472 0
80 9384 0
81 9372 0
82 9164 0
83 8920 0
84 8990 0
85 8762 0
86 8678 0
87 8580 0
88 8594 0
89 8532 0
90 8550 0
91 8650 0
92 8608 0
93 8698 0
94 8860 0
95 8838 0
96 8746 0
97 8634 0
98 8670 0
99 8748 0
100 8830 0
101 8738 5.72213e-05
102 8722 0
103 8804 0
104 8692 0
105 8546 0
106 8624 0
107 8796 0
108 8870 0
109 8868 0
110 8914 5.60915e-05
111 8788 0
112 8824 0
113 8752 0
114 8770 0
115 8728 0
116 8772 0
117 8744 0
118 8746 0
119 8862 0
120 8848 0
121 8954 0
122 9012 0
123 9018 0
124 8928 0
125 8926 0
126 9032 0
127 9090 0
128 9038 0
129 9058 0
130 8986 0
131 9260 0
132 9256 0
133 9136 0
134 9156 0
135 9154 0
136 9074 0
137 9144 5.46807e-05
138 9210 5.42888e-05
139 9106 0
140 9094 0
141 9166 5.45494e-05
142 9248 0.000108131
143 9120 0.000274123
144 9190 0.00054407
145 9020 0.000720621
146 8950 0.000670391
147 8816 0.000850726
148 8888 0.0010126
149 8670 0.00126874
150 8726 0.0009741
151 8844 0.000961104
152 8958 0.00117214
153 8936 0.00100716
154 8866 0.000845928
155 8916 0.0013459
156 8898 0.00196673
157 8910 0.00140292
158 8978 0.000835375
159 8988 0.000333778
160 9158 0.000600568
161 9272 0.000377481
162 9252 0.000432339
163 9018 0.00083167
164 9282 0.000754148
165 9324 0.00139425
166 9320 0.00160944
167 9368 0.00202818
168 9404 0.00281795
169 9062 0.0029243
170 9008 0.00244227
171 8980 0.00278396
172 8942 0.00290763
173 8784 0.00290301
174 8830 0.00294451
175 8860 0.00259594
176 8862 0.0032724
177 8708 0.00384704
178 8574 0.00425706
179 8616 0.00388812
180 8598 0.00418702
181 8562 0.00420463
182 8606 0.00424123
183 8494 0.00441488
184 8506 0.00505526
185 8660 0.00502309
186 8720 0.00430046
187 8598 0.00412887
188 8624 0.00446429
189 8690 0.00546605
190 8812 0.00669542
191 8852 0.00700407
192 8888 0.00691944
193 8904 0.00853549
194 8984 0.00879341
195 8904 0.00971473
196 8788 0.00967228
197 8654 0.00803097
198 8638 0.00885622
199 8810 0.00970488
200 8814 0.0115158
201 8814 0.0117994
202 8732 0.0111086
203 8832 0.0127378
204 8904 0.0117925
205 8952 0.0126787
206 9096 0.014347
207 9138 0.0134603
208 9184 0.0154072
209 9276 0.0156856
210 9336 0.016656
211 9298 0.0182835
212 9322 0.0185582
213 9248 0.0187067
214 9386 0.0174196
215 9350 0.0170588
216 9384 0.019821
217 9362 0.0200812
218 9400 0.0212766
219 9612 0.0249168
220 9608 0.0255516
221 9652 0.0285951
222 9590 0.0312826
223 9568 0.0316681
224 9368 0.0349594
225 9296 0.0367362
226 9322 0.0401201
227 9382 0.0416755
228 9534 0.0469897
229 9528 0.0513749
230 9696 0.05033
231 9758 0.0532384
232 9710 0.0538105
233 9824 0.057105
234 10000 0.06405
235 10000 0.065
236 10000 0.0666
237 10000 0.07035
238 9982 0.0746343
239 10000 0.08025
240 10000 0.08685
241 10000 0.0928
242 9940 0.105885
243 10000 0.1092
244 10000 0.11615
245 10000 0.12035
246 10000 0.12585
247 10000 0.13405
248 10000 0.1505
249 10000 0.1556
250 10000 0.1644
251 10000 0.17075
252 10000 0.17805
253 10000 0.19005
254 10000 0.19435
255 10000 0.2111
256 10000 0.21985
257 10000 0.2301
258 10000 0.24375
259 10000 0.26005
260 10000 0.2712
261 10000 0.28325
262 10000 0.2913
263 10000 0.30925
264 10000 0.3172
265 10000 0.3324
266 10000 0.3481
267 10000 0.3629
268 10000 0.3762
269 10000 0.3989
270 10000 0.41885
271 10000 0.4266
272 10000 0.4448
273 10000 0.46085
274 10000 0.47585
275 10000 0.49555
276 10000 0.50475
277 10000 0.52145
278 10000 0.5359
279 10000 0.54935
280 10000 0.55915
281 10000 0.5784
282 10000 0.59745
283 10000 0.61355
284 10000 0.6336
285 10000 0.64745
286 10000 0.6653
287 10000 0.67895
288 10000 0.6971
289 10000 0.7122
290 10000 0.72135
291 10000 0.73305
292 10000 0.74035
293 10000 0.75205
294 10000 0.76125
295 10000 0.77035
296 10000 0.78165
297 10000 0.7941
298 10000 0.79345
299 10000 0.8012
300 10000 0.8061
301 10000 0.8142
302 10000 0.82745
303 10000 0.8342
304 10000 0.84655
305 10000 0.8584
306 10000 0.86545
307 10000 0.87685
308 10000 0.8888
309 10000 0.8924
310 10000 0.8954
311 10000 0.90095
312 10000 0.9099
313 10000 0.9142
314 10000 0.91355
315 10000 0.9165
316 10000 0.92195
317 10000 0.9264
318 10000 0.9327
319 10000 0.93845
320 10000 0.9425
321 10000 0.94805
322 10000 0.95275
323 10000 0.95565
324 10000 0.95795
325 10000 0.9606
326 10000 0.96205
327 10000 0.96255
328 10000 0.96085
329 10000 0.96335
330 10000 0.9645
331 10000 0.968
332 10000 0.9685
333 10000 0.9694
334 10000 0.9723
335 10000 0.97315
336 10000 0.97395
337 10000 0.97515
338 10000 0.9765
339 10000 0.98015
340 10000 0.9813
341 10000 0.9817
342 10000 0.98285
343 10000 0.98215
344 10000 0.9808
345 10000 0.9826
346 10000 0.9848
347 10000 0.98635
348 10000 0.98685
349 10000 0.98635
350 10000 0.98665
351 10000 0.98745
352 10000 0.9884
353 10000 0.9896
354 10000 0.9891
355 10000 0.9889
356 10000 0.98855
357 10000 0.988
358 10000 0.98885
359 10000 0.98995
360 10000 0.99135
361 10000 0.99245
362 10000 0.99235
363 10000 0.99285
364 10000 0.9935
365 10000 0.9945
366 10000 0.9942
367 10000 0.9941
368 10000 0.9949
369 10000 0.99515
370 10000 0.9952
371 10000 0.99585
372 10000 0.99585
373 10000 0.9956
374 10000 0.9957
375 10000 0.99535
376 10000 0.9949
377 10000 0.9943
378 10000 0.9945
379 10000 0.99585
380 10000 0.9964
381 10000 0.9964
382 10000 0.99675
383 10000 0.99645
384 10000 0.99615
385 10000 0.9965
386 10000 0.996
387 10000 0.9969
388 10000 0.99785
389 10000 0.9978
390 10000 0.99785
391 10000 0.9972
392 10000 0.99775
393 10000 0.9982
394 10000 0.99835
395 10000 0.99855
396 10000 0.99875
397 10000 0.99805
398 10000 0.9976
399 10000 0.99735
400 10000 0.99695
401 10000 0.9968
402 10000 0.9962
403 10000 0.99665
404 10000 0.99745
405 10000 0.99665
406 10000 0.9967
407 10000 0.99645
408 10000 0.99665
409 10000 0.99725
410 10000 0.9976
411 10000 0.9982
412 10000 0.99935
413 10000 0.9994
414 10000 0.9995
415 10000 0.99945
416 10000 0.9996
417 10000 0.99945
418 10000 0.9996
419 10000 0.9996
420 10000 0.99965
421 10000 0.9996
422 10000 0.99955
423 10000 0.9997
424 10000 0.9997
425 10000 0.9997
426 10000 0.99975
427 10000 1
