t n p
2 9886 0.000404613
3 9698 0.000309342
4 9682 0.000619707
5 9800 0.000918367
6 9938 0.00100624
7 9844 0.000914262
8 9988 0.000600721
9 10000 0.0006
10 10000 0.0006
11 9974 0.000601564
12 9980 0.001002
13 9942 0.00100583
14 9844 0.000711093
15 9964 0.000702529
16 9934 0.000603986
17 9982 0.000701262
18 9934 0.000805315
19 9980 0.000901804
20 9922 0.000907075
21 9852 0.00091352
22 9972 0.00100281
23 10000 0.00115
24 10000 0.0016
25 9894 0.00161714
26 10000 0.0015
27 10000 0.0016
28 10000 0.0015
29 9986 0.00130182
30 10000 0.00115
31 9944 0.00120676
32 9912 0.00090799
33 9854 0.000811853
34 9816 0.00101874
35 9802 0.00091818
36 9652 0.000621633
37 9656 0.0008285
38 9656 0.0008285
39 9612 0.000832293
40 9586 0.000938869
41 9530 0.00104932
42 9584 0.00146077
43 9616 0.00166389
44 9820 0.00203666
45 9836 0.00183001
46 9886 0.00202306
47 9792 0.00214461
48 9684 0.00206526
49 9516 0.00220681
50 9662 0.00227696
51 9600 0.0021875
52 9528 0.00241394
53 9628 0.00218114
54 9734 0.00195192
55 9722 0.00164575
56 9772 0.00204666
57 9912 0.00201776
58 9940 0.00211268
59 9926 0.0022164
60 9998 0.00290058
61 9998 0.00330066
62 10000 0.0041
63 9990 0.0047047
64 9714 0.00566193
65 9662 0.00507141
66 9712 0.00432455
67 9778 0.00501125
68 9874 0.00617784
69 9978 0.00681499
70 9980 0.00671343
71 9926 0.0066492
72 10000 0.00745
73 10000 0.0071
74 10000 0.0079
75 9922 0.00786132
76 9888 0.00788835
77 9852 0.00740966
78 9830 0.008647
79 9866 0.00780458
80 9946 0.00904886
81 9912 0.00998789
82 9970 0.0119358
83 10000 0.0136
84 9914 0.0142223
85 10000 0.0143
86 10000 0.0154
87 9956 0.0154681
88 9982 0.0186335
89 9950 0.0180905
90 10000 0.019
91 9956 0.0185818
92 9940 0.0201207
93 9900 0.0206061
94 9886 0.0227595
95 10000 0.02195
96 10000 0.0236
97 10000 0.0242
98 10000 0.0238
99 9968 0.0264848
100 9902 0.029085
101 9846 0.0311802
102 9870 0.0314083
103 9880 0.0317814
104 9878 0.0334076
105 10000 0.03685
106 10000 0.04185
107 9916 0.0455829
108 9946 0.0473557
109 10000 0.05005
110 10000 0.05415
111 10000 0.0583
112 10000 0.06045
113 10000 0.0651
114 10000 0.06845
115 9948 0.0745879
116 9822 0.0774791
117 9910 0.084561
118 10000 0.08565
119 10000 0.0925
120 10000 0.0993
121 10000 0.106
122 10000 0.111
123 10000 0.1155
124 10000 0.1215
125 10000 0.1314
126 10000 0.13845
127 10000 0.147
128 10000 0.1535
129 10000 0.1613
130 10000 0.17045
131 10000 0.17955
132 10000 0.1849
133 10000 0.1892
134 10000 0.1977
135 10000 0.20905
136 10000 0.21355
137 10000 0.2217
138 10000 0.2282
139 10000 0.23795
140 10000 0.2454
141 10000 0.253
142 10000 0.2601
143 10000 0.26795
144 10000 0.27375
145 10000 0.28265
146 10000 0.28995
147 10000 0.2974
148 10000 0.3078
149 10000 0.31565
150 10000 0.32135
151 10000 0.32795
152 10000 0.33545
153 10000 0.34205
154 10000 0.3497
155 10000 0.35025
156 10000 0.35835
157 10000 0.3636
158 10000 0.36955
159 10000 0.37415
160 10000 0.38125
161 10000 0.39195
162 10000 0.3989
163 10000 0.403
164 10000 0.4099
165 10000 0.4156
166 10000 0.42145
167 10000 0.42505
168 10000 0.42895
169 10000 0.4309
170 10000 0.43575
171 10000 0.43895
172 10000 0.44325
173 10000 0.4466
174 10000 0.44995
175 10000 0.45115
176 10000 0.45565
177 10000 0.4589
178 10000 0.46045
179 10000 0.4625
180 10000 0.46455
181 10000 0.46575
182 10000 0.4686
183 10000 0.46975
184 10000 0.47165
185 10000 0.47295
186 10000 0.4757
187 10000 0.4759
188 10000 0.47885
189 10000 0.4813
190 10000 0.4828
191 10000 0.48375
192 10000 0.48455
193 10000 0.48605
194 10000 0.48545
195 10000 0.48575
196 10000 0.4874
197 10000 0.48755
198 10000 0.4873
199 10000 0.4879
200 10000 0.4881
201 10000 0.4881
202 10000 0.4895
203 10000 0.4901
204 10000 0.4907
205 10000 0.4917
206 10000 0.49115
207 10000 0.4925
208 10000 0.4937
209 10000 0.49405
210 10000 0.49345
211 10000 0.49285
212 10000 0.49275
213 10000 0.493
214 10000 0.4936
215 10000 0.49405
216 10000 0.49595
217 10000 0.49615
218 10000 0.4965
219 10000 0.4967
220 10000 0.49645
221 10000 0.49665
222 10000 0.49675
223 10000 0.4964
224 10000 0.49685
225 10000 0.4968
226 10000 0.4967
227 10000 0.4971
228 10000 0.49735
229 10000 0.49785
230 10000 0.4985
231 10000 0.4986
232 10000 0.4986
233 10000 0.499
234 10000 0.499
235 10000 0.4992
236 10000 0.49925
237 10000 0.49895
238 10000 0.49845
239 10000 0.49825
240 10000 0.4985
241 10000 0.49855
242 10000 0.4984
243 10000 0.49825
244 10000 0.4984
245 10000 0.4988
246 10000 0.499
247 10000 0.4993
248 10000 0.4995
249 10000 0.4996
250 10000 0.49975
251 10000 0.4999
252 10000 0.4999
253 10000 0.4999
254 10000 0.4999
255 10000 0.4998
256 10000 0.4998
257 10000 0.49975
258 10000 0.4997
259 10000 0.49965
260 10000 0.4997
261 10000 0.4997
262 10000 0.4999
263 10000 0.5
