t n p
2 9626 0
3 9184 0.00021777
4 8828 0.000736294
5 8436 0.000533428
6 8128 0.000553642
7 7822 0.000894912
8 7540 0.00139257
9 7080 0.00169492
10 6628 0.00173506
11 6250 0.002
12 5934 0.00176946
13 5640 0.00106383
14 5278 0.000852596
15 5026 0.00129327
16 4856 0.0023682
17 4512 0.00221631
18 4394 0.00375512
19 4106 0.00523624
20 3854 0.00454074
21 3620 0.00524862
22 3524 0.00681044
23 3230 0.00588235
24 3060 0.00506536
25 2960 0.00692568
26 2774 0.00666907
27 2630 0.00703422
28 2452 0.00815661
29 2388 0.00900335
30 2292 0.00894415
31 2182 0.0126031
32 2122 0.0129595
33 1966 0.0127162
34 1890 0.00978836
35 1826 0.0115005
36 1790 0.00865922
37 1722 0.0121951
38 1694 0.0112161
39 1630 0.0110429
40 1544 0.0126295
41 1454 0.00928473
42 1426 0.00911641
43 1364 0.0109971
44 1302 0.0115207
45 1302 0.0138249
46 1270 0.0153543
47 1272 0.0172956
48 1248 0.0172276
49 1180 0.0177966
50 1148 0.0156794
51 1094 0.011426
52 1002 0.011477
53 938 0.0138593
54 950 0.0163158
55 930 0.0290323
56 832 0.031851
57 810 0.0364198
58 738 0.0386179
59 734 0.0395095
60 742 0.0512129
61 696 0.0502874
62 644 0.0395963
63 572 0.0463287
64 560 0.0508929
65 584 0.0710616
66 554 0.0622744
67 536 0.0662313
68 524 0.0725191
69 538 0.0892193
70 440 0.0829545
71 466 0.0772532
72 414 0.0833333
73 388 0.0850515
74 392 0.0688776
75 362 0.0801105
76 348 0.0948276
77 312 0.0737179
78 282 0.0815603
79 316 0.0838608
80 310 0.0822581
81 304 0.0921053
82 306 0.0784314
83 290 0.0965517
84 282 0.138298
85 258 0.155039
86 258 0.151163
87 266 0.154135
88 258 0.141473
89 278 0.158273
90 274 0.178832
91 268 0.220149
92 298 0.244966
93 304 0.271382
94 270 0.305556
95 280 0.332143
96 278 0.336331
97 278 0.375899
98 296 0.375
99 288 0.387153
100 294 0.406463
101 302 0.433775
102 292 0.390411
103 262 0.391221
104 256 0.443359
105 254 0.48622
106 228 0.484649
107 244 0.532787
108 252 0.549603
109 260 0.578846
110 292 0.630137
111 314 0.628981
112 348 0.622126
113 336 0.630952
114 336 0.641369
115 334 0.603293
116 338 0.576923
117 368 0.605978
118 336 0.630952
119 348 0.659483
120 360 0.675
121 366 0.632514
122 406 0.647783
123 450 0.68
124 438 0.728311
125 492 0.743902
126 508 0.759843
127 520 0.775
128 542 0.788745
129 544 0.800551
130 578 0.813149
131 578 0.807958
132 638 0.794671
133 620 0.806452
134 658 0.797872
135 680 0.802941
136 712 0.797753
137 736 0.776495
138 748 0.793449
139 790 0.772152
140 840 0.774405
141 898 0.81069
142 936 0.82265
143 990 0.835859
144 1050 0.849524
145 1110 0.863514
146 1204 0.875
147 1328 0.892696
148 1412 0.890227
149 1540 0.895455
150 1620 0.90679
151 1716 0.909965
152 1830 0.913934
153 1958 0.907814
154 2122 0.922714
155 2268 0.921296
156 2406 0.921239
157 2548 0.924451
158 2726 0.931218
159 2922 0.934292
160 3096 0.937661
161 3272 0.936736
162 3478 0.937608
163 3732 0.937835
164 3948 0.948328
165 4316 0.947521
166 4632 0.948618
167 4896 0.950368
168 5182 0.953975
169 5496 0.964247
170 5824 0.966775
171 6236 0.968489
172 6604 0.971002
173 6928 0.974091
174 7226 0.973844
175 7716 0.974015
176 8132 0.976267
177 8792 0.975091
178 9476 0.976203
179 10000 0.9782
180 10000 0.97745
181 10000 0.9779
182 10000 0.9806
183 10000 0.981
184 10000 0.98355
185 10000 0.983
186 10000 0.98545
187 10000 0.986
188 10000 0.98555
189 10000 0.9865
190 10000 0.9868
191 10000 0.98615
192 10000 0.98505
193 10000 0.986
194 10000 0.9854
195 10000 0.98595
196 10000 0.98635
197 10000 0.98685
198 10000 0.98815
199 10000 0.98935
200 10000 0.9913
201 10000 0.99335
202 10000 0.99355
203 10000 0.99405
204 10000 0.9937
205 10000 0.9944
206 10000 0.99525
207 10000 0.99525
208 10000 0.99505
209 10000 0.99525
210 10000 0.9965
211 10000 0.99565
212 10000 0.99575
213 10000 0.99575
214 10000 0.99685
215 10000 0.9973
216 10000 0.99695
217 10000 0.99695
218 10000 0.99695
219 10000 0.99735
220 10000 0.9976
221 10000 0.9973
222 10000 0.9979
223 10000 0.99795
224 10000 0.99865
225 10000 0.99925
226 10000 0.99945
227 10000 0.9993
228 10000 0.9994
229 10000 0.99985
230 10000 0.9997
231 10000 0.99975
232 10000 0.99985
233 10000 1
