t n p
2 2327 0.00386764
3 2327 0.00322303
4 2316 0.00669257
5 2327 0.0107434
6 2327 0.0107434
7 2327 0.0096691
8 2302 0.0125977
9 2288 0.0115822
10 2316 0.0131693
11 2322 0.0124892
12 2266 0.0189762
13 2280 0.0212719
14 2252 0.0219805
15 2292 0.0244328
16 2327 0.0234207
17 2222 0.0245275
18 2192 0.0244069
19 2232 0.0288978
20 2256 0.0288121
21 2246 0.0378451
22 2240 0.0410714
23 2158 0.0493513
24 2150 0.055814
25 2184 0.0494505
26 2212 0.051311
27 2240 0.0533482
28 2232 0.0593638
29 2250 0.0593333
30 2242 0.0640054
31 2260 0.0610619
32 2292 0.0715532
33 2302 0.0766725
34 2327 0.0822948
35 2327 0.0915342
36 2327 0.0932531
37 2314 0.0898876
38 2310 0.102381
39 2327 0.108939
40 2327 0.122046
41 2324 0.123709
42 2320 0.129957
43 2314 0.138505
44 2327 0.160077
45 2327 0.180275
46 2327 0.191448
47 2327 0.191233
48 2327 0.200688
49 2327 0.221745
50 2327 0.234207
51 2327 0.257628
52 2327 0.27095
53 2327 0.274388
54 2327 0.281478
55 2327 0.298023
56 2327 0.312849
57 2327 0.324022
58 2327 0.331328
59 2327 0.358831
60 2327 0.383756
61 2327 0.411044
62 2327 0.444349
63 2327 0.469274
64 2327 0.480017
65 2327 0.502149
66 2327 0.520198
67 2327 0.54985
68 2327 0.575419
69 2327 0.602278
70 2327 0.628492
71 2327 0.640739
72 2327 0.666094
73 2327 0.694886
74 2327 0.719596
75 2327 0.728621
76 2327 0.738505
77 2327 0.758272
78 2327 0.783197
79 2327 0.785991
80 2327 0.801676
81 2327 0.809411
82 2327 0.824022
83 2327 0.837129
84 2327 0.846584
85 2327 0.853889
86 2327 0.8685
87 2327 0.883326
88 2327 0.884401
89 2327 0.898367
90 2327 0.90954
91 2327 0.919639
92 2327 0.926945
93 2327 0.938333
94 2327 0.944779
95 2327 0.955737
96 2327 0.961324
97 2327 0.971637
98 2327 0.977869
99 2327 0.972712
100 2327 0.969703
101 2327 0.967125
102 2327 0.968844
103 2327 0.972067
104 2327 0.974216
105 2327 0.979587
106 2327 0.980232
107 2327 0.983025
108 2327 0.98324
109 2327 0.986034
110 2327 0.987323
111 2327 0.985389
112 2327 0.987538
113 2327 0.988397
114 2327 0.987752
115 2327 0.985604
116 2327 0.984959
117 2327 0.991405
118 2327 0.993339
119 2327 0.994199
120 2327 0.995058
121 2327 0.997636
122 2327 0.997422
123 2327 0.996992
124 2327 0.997636
125 2327 0.996992
126 2327 0.998281
127 2327 0.998926
128 2327 0.998926
129 2327 0.997636
130 2327 0.996992
131 2327 0.997636
132 2327 0.997636
133 2327 0.998066
134 2327 0.996777
135 2327 0.995273
136 2327 0.993984
137 2327 0.994413
138 2327 0.995273
139 2327 0.993339
140 2327 0.994413
141 2327 0.996777
142 2327 0.997851
143 2327 0.997851
144 2327 0.997851
145 2327 0.998496
146 2327 0.998496
147 2327 0.998496
148 2327 0.99957
149 2327 0.999355
150 2327 0.998926
151 2327 0.999141
152 2327 0.999785
153 2327 0.999785
154 2327 0.999355
155 2327 0.99957
156 2327 0.999355
157 2327 0.998496
158 2327 0.999355
159 2327 0.998496
160 2327 0.997636
161 2327 0.996132
162 2327 0.997422
163 2327 0.996992
164 2327 0.997207
165 2327 0.995703
166 2327 0.995703
167 2327 0.995703
168 2327 0.997422
169 2327 0.996562
170 2327 0.998066
171 2327 0.997851
172 2327 0.999355
173 2327 0.99957
174 2327 0.999355
175 2327 1
