t n p
1 9526 0
2 9144 0
3 8602 0
4 8168 0
5 7828 0
6 7430 0
7 7162 0
8 6926 0
9 6872 0
10 6552 0
11 6140 0
12 5826 0
13 5554 0
14 5316 0
15 5200 0
16 5068 0
17 4866 0
18 4676 0
19 4436 0
20 4182 0
21 4006 0
22 3836 0
23 3648 0
24 3478 0.000143761
25 3300 0.000454545
26 3092 0.000808538
27 2994 0.001002
28 2902 0.00103377
29 2748 0.000545852
30 2672 0.000748503
31 2536 0.000985804
32 2390 0.000627615
33 2284 0.000218914
34 2214 0.000451671
35 2096 0.0014313
36 1958 0.00229826
37 1824 0.0035636
38 1734 0.00230681
39 1660 0
40 1550 0
41 1472 0
42 1392 0
43 1338 0
44 1288 0
45 1208 0.000413907
46 1232 0.00121753
47 1202 0.000831947
48 1112 0.00044964
49 1030 0.000485437
50 1018 0.0024558
51 1014 0.00246548
52 996 0.00401606
53 948 0.00580169
54 908 0.00495595
55 874 0.00286041
56 826 0.0066586
57 826 0.00605327
58 782 0.00703325
59 730 0.00821918
60 668 0.00973054
61 644 0.0147516
62 574 0.00958188
63 584 0.0111301
64 498 0.0140562
65 492 0.0254065
66 468 0.0384615
67 444 0.0394144
68 414 0.0386473
69 364 0.0494505
70 336 0.0758929
71 332 0.0918675
72 330 0.080303
73 340 0.075
74 314 0.0859873
75 300 0.0866667
76 320 0.0953125
77 320 0.101562
78 300 0.095
79 284 0.068662
80 258 0.0813953
81 208 0.0817308
82 186 0.110215
83 174 0.12931
84 180 0.138889
85 174 0.183908
86 178 0.19382
87 196 0.163265
88 172 0.15407
89 166 0.225904
90 160 0.253125
91 144 0.232639
92 158 0.227848
93 134 0.264925
94 126 0.281746
95 116 0.275862
96 106 0.349057
97 102 0.333333
98 100 0.345
99 110 0.368182
100 88 0.420455
101 96 0.411458
102 102 0.397059
103 78 0.378205
104 84 0.470238
105 88 0.477273
106 82 0.426829
107 66 0.545455
108 78 0.621795
109 66 0.613636
110 62 0.685484
111 70 0.75
112 72 0.763889
113 56 0.857143
114 52 0.788462
115 46 0.804348
116 46 0.793478
117 44 0.795455
118 54 0.861111
119 62 0.91129
120 76 0.894737
121 78 0.878205
122 72 0.826389
123 76 0.835526
124 88 0.875
125 92 0.86413
126 88 0.880682
127 96 0.890625
128 104 0.913462
129 124 0.939516
130 136 0.941176
131 138 0.898551
132 148 0.915541
133 170 0.9
134 200 0.9
135 218 0.912844
136 216 0.893519
137 248 0.879032
138 254 0.905512
139 280 0.882143
140 308 0.871753
141 338 0.881657
142 376 0.864362
143 386 0.867876
144 402 0.858209
145 440 0.853409
146 444 0.845721
147 442 0.852941
148 454 0.849119
149 476 0.878151
150 480 0.877083
151 486 0.866255
152 474 0.851266
153 504 0.852183
154 506 0.87747
155 538 0.893123
156 572 0.887238
157 560 0.9125
158 604 0.923013
159 652 0.929448
160 696 0.907328
161 708 0.894774
162 752 0.901596
163 790 0.883544
164 810 0.882099
165 864 0.892361
166 876 0.907534
167 954 0.913522
168 1066 0.912758
169 1066 0.918386
170 1162 0.923408
171 1260 0.922619
172 1372 0.932945
173 1506 0.938579
174 1606 0.943026
175 1738 0.934983
176 1818 0.94582
177 1932 0.942029
178 2058 0.945821
179 2202 0.956176
180 2354 0.956882
181 2434 0.964256
182 2574 0.961733
183 2672 0.96351
184 2852 0.962307
185 3112 0.964492
186 3384 0.965869
187 3634 0.965465
188 3876 0.964138
189 4260 0.970892
190 4606 0.967325
191 4894 0.973028
192 5270 0.979222
193 5566 0.981764
194 6036 0.985089
195 6592 0.985816
196 7186 0.988311
197 7694 0.990187
198 8260 0.990436
199 8784 0.990494
200 9508 0.991113
201 10000 0.99225
202 10000 0.993
203 10000 0.99345
204 10000 0.9942
205 10000 0.99535
206 10000 0.99575
207 10000 0.9963
208 10000 0.9965
209 10000 0.9975
210 10000 0.9967
211 10000 0.99695
212 10000 0.99735
213 10000 0.99755
214 10000 0.99805
215 10000 0.9976
216 10000 0.9975
217 10000 0.9975
218 10000 0.9973
219 10000 0.9976
220 10000 0.9975
221 10000 0.99775
222 10000 0.99845
223 10000 0.99885
224 10000 0.99925
225 10000 0.9992
226 10000 0.99935
227 10000 0.9995
228 10000 0.99925
229 10000 0.9989
230 10000 0.9992
231 10000 0.99925
232 10000 0.9997
233 10000 0.99995
234 10000 0.9999
235 10000 0.99985
236 10000 1
