t n p
0 10000 0
1 9506 5.25984e-05
2 9002 5.55432e-05
3 8588 0.000349325
4 8134 0.000676174
5 7646 0.00111169
6 7256 0.00186053
7 6832 0.001976
8 6410 0.00179407
9 6110 0.00237316
10 5718 0.00288562
11 5386 0.00380616
12 5142 0.00427849
13 4810 0.00343035
14 4562 0.00372644
15 4346 0.00483203
16 4232 0.00508034
17 4086 0.00538424
18 3828 0.00509404
19 3586 0.00697156
20 3378 0.00858496
21 3170 0.00930599
22 2866 0.0104676
23 2818 0.0101136
24 2692 0.0109584
25 2606 0.0140061
26 2488 0.0130627
27 2424 0.0162954
28 2230 0.0210762
29 2212 0.017179
30 2166 0.0186981
31 2034 0.0226155
32 1860 0.0276882
33 1786 0.037514
34 1706 0.0427902
35 1632 0.0456495
36 1580 0.0582278
37 1462 0.0588235
38 1458 0.0665295
39 1428 0.07493
40 1394 0.0703013
41 1376 0.072311
42 1304 0.0816718
43 1280 0.0894531
44 1278 0.0985915
45 1206 0.109038
46 1200 0.125
47 1246 0.134831
48 1144 0.156906
49 1090 0.144954
50 1032 0.153101
51 1020 0.159804
52 960 0.185417
53 946 0.207188
54 920 0.229891
55 912 0.239583
56 922 0.251085
57 868 0.254032
58 864 0.261574
59 818 0.24511
60 816 0.276961
61 804 0.2699
62 816 0.298407
63 838 0.295346
64 868 0.323157
65 870 0.343103
66 844 0.35545
67 888 0.367117
68 968 0.367769
69 988 0.38917
70 1042 0.409309
71 1066 0.436679
72 1060 0.474057
73 1114 0.515709
74 1146 0.504799
75 1188 0.550084
76 1266 0.578989
77 1360 0.6125
78 1416 0.633475
79 1492 0.669236
80 1652 0.688257
81 1764 0.709184
82 1906 0.7117
83 2016 0.711558
84 2188 0.721207
85 2478 0.742534
86 2708 0.760894
87 2974 0.776059
88 3264 0.789369
89 3618 0.806661
90 3966 0.819844
91 4436 0.832056
92 4920 0.842785
93 5502 0.846601
94 6096 0.861795
95 6780 0.878024
96 7718 0.886823
97 8728 0.895222
98 9782 0.901452
99 10000 0.91325
100 10000 0.91895
101 10000 0.9243
102 10000 0.93105
103 10000 0.9381
104 10000 0.94425
105 10000 0.94765
106 10000 0.9507
107 10000 0.9547
108 10000 0.95575
109 10000 0.95775
110 10000 0.96205
111 10000 0.9611
112 10000 0.9653
113 10000 0.9669
114 10000 0.97235
115 10000 0.9779
116 10000 0.97925
117 10000 0.98035
118 10000 0.98135
119 10000 0.9825
120 10000 0.9861
121 10000 0.98875
122 10000 0.9909
123 10000 0.991
124 10000 0.99365
125 10000 0.9946
126 10000 0.9949
127 10000 0.9953
128 10000 0.99485
129 10000 0.9943
130 10000 0.9946
131 10000 0.9955
132 10000 0.9956
133 10000 0.99615
134 10000 0.9965
135 10000 0.9969
136 10000 0.9977
137 10000 0.9984
138 10000 0.9984
139 10000 0.9988
140 10000 0.99865
141 10000 0.9991
142 10000 0.99935
143 10000 0.9996
144 10000 0.9999
145 10000 0.99975
146 10000 0.9997
147 10000 0.99975
148 10000 0.99965
149 10000 0.9997
150 10000 0.9997
151 10000 0.99945
152 10000 0.99925
153 10000 0.99895
154 10000 0.99945
155 10000 0.9993
156 10000 0.99925
157 10000 0.99925
158 10000 0.9993
159 10000 0.99945
160 10000 0.99955
161 10000 0.9997
162 10000 0.9999
163 10000 0.9998
164 10000 1
